student,evaluator
Norm,Julio
Norm,Hank
Norm,Leanna
Norm,Kramer
Norm,Brian
Carl,Hank
Carl,Leanna
Carl,Kramer
Carl,Brian
Carl,Francine
Julio,Leanna
Julio,Kramer
Julio,Brian
Julio,Francine
Julio,Mindy
Hank,Kramer
Hank,Brian
Hank,Francine
Hank,Mindy
Hank,Irving
Leanna,Brian
Leanna,Francine
Leanna,Mindy
Leanna,Irving
Leanna,Alex
Kramer,Francine
Kramer,Mindy
Kramer,Irving
Kramer,Alex
Kramer,Geraldine
Brian,Mindy
Brian,Irving
Brian,Alex
Brian,Geraldine
Brian,Earl
Francine,Irving
Francine,Alex
Francine,Geraldine
Francine,Earl
Francine,Donna
Mindy,Alex
Mindy,Geraldine
Mindy,Earl
Mindy,Donna
Mindy,Norm
Irving,Geraldine
Irving,Earl
Irving,Donna
Irving,Norm
Irving,Carl
Alex,Earl
Alex,Donna
Alex,Norm
Alex,Carl
Alex,Julio
Geraldine,Donna
Geraldine,Norm
Geraldine,Carl
Geraldine,Julio
Geraldine,Hank
Earl,Norm
Earl,Carl
Earl,Julio
Earl,Hank
Earl,Leanna
Donna,Carl
Donna,Julio
Donna,Hank
Donna,Leanna
Donna,Kramer
